host,ip,collector_hostname,timestamp,feature,value,anomaly_score,anomaly_flag,anomaly_type,anomaly_timestamp
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ipInAddrErrors,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,icmpInMsgs,742.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,icmpInDestUnreachs,742.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,icmpOutMsgs,744.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,icmpOutDestUnreachs,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,icmpInEchos,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,icmpOutEchoReps,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,ifInOctets11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,ifOutOctets11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,ifOutDiscards11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,ifInUcastPkts11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,ifInNUcastPkts11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,ifInDiscards11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,ifOutUcastPkts11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,ifOutNUcastPkts11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,tcpOutRsts,1010.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,tcpInSegs,135594.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,tcpOutSegs,149344.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,tcpPassiveOpens,70.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,tcpRetransSegs,4251.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,tcpCurrEstab,25.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,tcpEstabResets,511.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,tcpActiveOpens,4136.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:57.977253,udpInDatagrams,151420.0,-0.08139265295273568,Normal,,
